index, real(in), imag(in), real(out), imag(out), error, f_in, f_out
200,   0.38272911,   0.32174277,   0.80833924,   0.58871698,   0.06957245,  -0.20000000,  -0.20173529
201,   0.43902063,   0.23929247,   0.90842265,   0.41805303,   0.06774139,  -0.20000000,  -0.20164832
202,   0.47780964,   0.14730227,   0.97294950,   0.23101783,   0.06591798,  -0.20000000,  -0.20156364
203,   0.49754974,   0.04943953,   0.99938971,   0.03493161,   0.06410218,  -0.20000000,  -0.20148124
204,   0.49745393,  -0.05039423,   0.98670304,  -0.16253345,   0.06229782,  -0.20000000,  -0.20140111
205,   0.47752607,  -0.14821890,   0.93537956,  -0.35364544,   0.06050490,  -0.20000000,  -0.20132324
206,   0.43856061,  -0.24013451,   0.84742045,  -0.53092241,   0.05872728,  -0.20000000,  -0.20124760
207,   0.38211098,  -0.32247666,   0.72626257,  -0.68741739,   0.05696483,  -0.20000000,  -0.20117420
208,   0.31042770,  -0.39196256,   0.57664454,  -0.81699514,   0.05521775,  -0.20000000,  -0.20110299
209,   0.22636853,  -0.44582203,   0.40441853,  -0.91457403,   0.05348968,  -0.20000000,  -0.20103396
210,   0.13328470,  -0.48190787,   0.21632735,  -0.97632086,   0.05178070,  -0.20000000,  -0.20096710
211,   0.03488719,  -0.49878141,   0.01973904,  -0.99980515,   0.05009079,  -0.20000000,  -0.20090237
212,  -0.06490118,  -0.49576995,  -0.17764553,  -0.98409456,   0.04842376,  -0.20000000,  -0.20083976
213,  -0.16210212,  -0.47299355,  -0.36808637,  -0.92979163,   0.04677964,  -0.20000000,  -0.20077923
214,  -0.25284052,  -0.43136027,  -0.54411453,  -0.83901095,   0.04516220,  -0.20000000,  -0.20072076
215,  -0.33349887,  -0.37252986,  -0.69881505,  -0.71530241,   0.04356767,  -0.20000000,  -0.20066431
216,  -0.40086159,  -0.29884776,  -0.82611191,  -0.56350613,   0.04199979,  -0.20000000,  -0.20060985
217,  -0.45224309,  -0.21325146,  -0.92099702,  -0.38956955,   0.04045866,  -0.20000000,  -0.20055735
218,  -0.48559496,  -0.11915343,  -0.97973186,  -0.20031346,   0.03894424,  -0.20000000,  -0.20050678
219,  -0.49958754,  -0.02030508,  -0.99999499,  -0.00316482,   0.03745651,  -0.20000000,  -0.20045809
220,  -0.49366298,   0.07935277,  -0.98097497,   0.19413432,   0.03599548,  -0.20000000,  -0.20041128
221,  -0.46805748,   0.17584704,  -0.92340344,   0.38383085,   0.03456115,  -0.20000000,  -0.20036627
222,  -0.42379189,   0.26533079,  -0.82952791,   0.55846524,   0.03315356,  -0.20000000,  -0.20032308
223,  -0.36263090,   0.34423658,  -0.70302218,   0.71116793,   0.03177638,  -0.20000000,  -0.20028163
224,  -0.28701288,   0.40941861,  -0.54884678,   0.83592296,   0.03042980,  -0.20000000,  -0.20024191
225,  -0.19995245,   0.45827833,  -0.37305832,   0.92780787,   0.02910995,  -0.20000000,  -0.20020387
226,  -0.10492049,   0.48886776,  -0.18256211,   0.98319429,   0.02782058,  -0.20000000,  -0.20016748
227,  -0.00570566,   0.49996746,   0.01514960,   0.99988526,   0.02656174,  -0.20000000,  -0.20013270
228,   0.09373665,   0.49113485,   0.21229471,   0.97720569,   0.02533340,  -0.20000000,  -0.20009950
229,   0.18944195,   0.46272212,   0.40110752,   0.91603100,   0.02413561,  -0.20000000,  -0.20006783
230,   0.27759472,   0.41586196,   0.57414460,   0.81875390,   0.02296831,  -0.20000000,  -0.20003766
231,   0.35468060,   0.35242257,   0.72457612,   0.68919474,   0.02182768,  -0.20000000,  -0.20000894
232,   0.41762638,   0.27493310,   0.84646457,   0.53244501,   0.02071758,  -0.20000000,  -0.19998166
233,   0.46392256,   0.18648285,   0.93498874,   0.35467744,   0.01963426,  -0.20000000,  -0.19995576
234,   0.49172351,   0.09059805,   0.98664451,   0.16288829,   0.01858520,  -0.20000000,  -0.19993122
235,   0.49992082,  -0.00889864,   0.99937487,  -0.03535371,   0.01756286,  -0.20000000,  -0.19990799
236,   0.48818770,  -0.10804056,   0.97266084,  -0.23223028,   0.01657103,  -0.20000000,  -0.19988604
237,   0.45699194,  -0.20287521,   0.90754074,  -0.41996402,   0.01560593,  -0.20000000,  -0.19986533
238,   0.40757725,  -0.28962183,   0.80657101,  -0.59113717,   0.01466750,  -0.20000000,  -0.19984582
239,   0.34191358,  -0.36482203,   0.67372030,  -0.73898643,   0.01376338,  -0.20000000,  -0.19982749
240,   0.26261881,  -0.42547780,   0.51422882,  -0.85765302,   0.01288611,  -0.20000000,  -0.19981028
241,   0.17285416,  -0.46917102,   0.33439025,  -0.94243467,   0.01203536,  -0.20000000,  -0.19979417
242,   0.07619831,  -0.49415970,   0.14130683,  -0.98996586,   0.01121139,  -0.20000000,  -0.19977912
243,  -0.02349534,  -0.49944767,  -0.05739057,  -0.99835181,   0.01041413,  -0.20000000,  -0.19976512
244,  -0.12225230,  -0.48482406,  -0.25384393,  -0.96724516,   0.00964354,  -0.20000000,  -0.19975209
245,  -0.21613541,  -0.45087191,  -0.44028226,  -0.89785939,   0.00890350,  -0.20000000,  -0.19974004
246,  -0.30140182,  -0.39894480,  -0.60931516,  -0.79292816,   0.00818631,  -0.20000000,  -0.19972891
247,  -0.37465221,  -0.33111286,  -0.75424725,  -0.65659046,   0.00749586,  -0.20000000,  -0.19971867
248,  -0.43296626,  -0.25008044,  -0.86932945,  -0.49423307,   0.00683215,  -0.20000000,  -0.19970930
249,  -0.47401920,  -0.15907799,  -0.94998878,  -0.31228399,   0.00618742,  -0.20000000,  -0.19970076
250,  -0.49617434,  -0.06173357,  -0.99302089,  -0.11793840,   0.00556946,  -0.20000000,  -0.19969302
251,  -0.49854842,   0.03807200,  -0.99670541,   0.08110676,   0.00497817,  -0.20000000,  -0.19968607
252,  -0.48104680,   0.13635974,  -0.96088159,   0.27695945,   0.00440980,  -0.20000000,  -0.19967984
253,  -0.44436720,   0.22921121,  -0.88695806,   0.46184993,   0.00386048,  -0.20000000,  -0.19967432
254,  -0.38997197,   0.31292468,  -0.77785301,   0.62844622,   0.00333402,  -0.20000000,  -0.19966950
255,  -0.32002968,   0.38416272,  -0.63788205,   0.77013409,   0.00283051,  -0.20000000,  -0.19966532
256,  -0.23732869,   0.44008532,  -0.47258782,   0.88128358,   0.00234983,  -0.20000000,  -0.19966179
257,  -0.14516610,   0.47846296,  -0.28852475,   0.95747244,   0.00188825,  -0.20000000,  -0.19965886
258,  -0.04721615,   0.49776563,  -0.09298909,   0.99566710,   0.00144959,  -0.20000000,  -0.19965650
259,   0.05261618,   0.49722382,   0.10625654,   0.99433875,   0.00102997,  -0.20000000,  -0.19965468
260,   0.15035084,   0.47685912,   0.30130193,   0.95352876,   0.00062945,  -0.20000000,  -0.19965340
261,   0.24209146,   0.43748340,   0.48440319,   0.87484485,   0.00025177,  -0.20000000,  -0.19965261
262,   0.32418057,   0.38066646,   0.64827979,   0.76140219,  -0.00010687,  -0.20000000,  -0.19965230
263,   0.39334553,   0.30867344,   0.78641307,   0.61770093,  -0.00045013,  -0.20000000,  -0.19965243
264,   0.44682893,   0.22437449,   0.89331007,   0.44944090,  -0.00077441,  -0.20000000,  -0.19965300
265,   0.48249853,   0.13113037,   0.96471238,   0.26330605,  -0.00108337,  -0.20000000,  -0.19965397
266,   0.49893227,   0.03265845,   0.99777365,   0.06669101,  -0.00137711,  -0.20000000,  -0.19965532
267,   0.49547505,  -0.06711546,   0.99117047,  -0.13259393,  -0.00165176,  -0.20000000,  -0.19965705
268,   0.47226462,  -0.16421367,   0.94515520,  -0.32662159,  -0.00191119,  -0.20000000,  -0.19965912
269,   0.43022636,  -0.25476515,   0.86154890,  -0.50767457,  -0.00215534,  -0.20000000,  -0.19966151
270,   0.37103620,  -0.33515990,   0.74366844,  -0.66854864,  -0.00238416,  -0.20000000,  -0.19966421
271,   0.29705387,  -0.40219274,   0.59619540,  -0.80283940,  -0.00259781,  -0.20000000,  -0.19966719
272,   0.21122886,  -0.45319131,   0.42499393,  -0.90519619,  -0.00279999,  -0.20000000,  -0.19967043
273,   0.11698277,  -0.48612246,   0.23686849,  -0.97154170,  -0.00298691,  -0.20000000,  -0.19967394
274,   0.01807289,  -0.49967328,   0.03930592,  -0.99922723,  -0.00316238,  -0.20000000,  -0.19967768
275,  -0.08155749,  -0.49330354,  -0.15983222,  -0.98714417,  -0.00332641,  -0.20000000,  -0.19968162
276,  -0.17793640,  -0.46726719,  -0.35262299,  -0.93576550,  -0.00347523,  -0.20000000,  -0.19968578
277,  -0.26722151,  -0.42260227,  -0.53138947,  -0.84712762,  -0.00360865,  -0.20000000,  -0.19969013
278,  -0.34585327,  -0.36108935,  -0.68900466,  -0.72475690,  -0.00373463,  -0.20000000,  -0.19969465
279,  -0.41069680,  -0.28518087,  -0.81919223,  -0.57351905,  -0.00384901,  -0.20000000,  -0.19969931
280,  -0.45916706,  -0.19790302,  -0.91676122,  -0.39943573,  -0.00395582,  -0.20000000,  -0.19970413
281,  -0.48933163,  -0.10273535,  -0.97782362,  -0.20943004,  -0.00404739,  -0.20000000,  -0.19970907
282,  -0.49998796,  -0.00347191,  -0.99993867,  -0.01107498,  -0.00413132,  -0.20000000,  -0.19971414
283,  -0.49071115,   0.09592994,  -0.98222089,   0.18772875,  -0.00420761,  -0.20000000,  -0.19971931
284,  -0.46187112,   0.19150734,  -0.92537022,   0.37906453,  -0.00427247,  -0.20000000,  -0.19972457
285,  -0.41461760,   0.27944988,  -0.83164728,   0.55530423,  -0.00432967,  -0.20000000,  -0.19972990
286,  -0.35083446,   0.35625157,  -0.70478243,   0.70942348,  -0.00437932,  -0.20000000,  -0.19973531
287,  -0.27306455,   0.41885051,  -0.54982746,   0.83527827,  -0.00442125,  -0.20000000,  -0.19974078
288,  -0.18440834,   0.46475106,  -0.37295446,   0.92784965,  -0.00445555,  -0.20000000,  -0.19974631
289,  -0.08840029,   0.49212334,  -0.18121046,   0.98344433,  -0.00448227,  -0.20000000,  -0.19975188
290,   0.01113203,   0.49987605,   0.01776361,   0.99984223,  -0.00450134,  -0.20000000,  -0.19975749
291,   0.11022054,   0.48770013,   0.21603708,   0.97638518,  -0.00451280,  -0.20000000,  -0.19976312
292,   0.20491488,   0.45608100,   0.40570223,   0.91400528,  -0.00452043,  -0.20000000,  -0.19976877
293,   0.29143983,   0.40627924,   0.57920063,   0.81518501,  -0.00452040,  -0.20000000,  -0.19977441
294,   0.36634594,   0.34028026,   0.72961056,   0.68386286,  -0.00451665,  -0.20000000,  -0.19978006
295,   0.42664686,   0.26071528,   0.85093594,   0.52526951,  -0.00450517,  -0.20000000,  -0.19978571
296,   0.46993858,   0.17075634,   0.93833435,   0.34572917,  -0.00448988,  -0.20000000,  -0.19979134
297,   0.49449521,   0.07398982,   0.98831952,   0.15239596,  -0.00446701,  -0.20000000,  -0.19979696
298,   0.49933770,  -0.02572647,   0.99889404,  -0.04701802,  -0.00444031,  -0.20000000,  -0.19980255
299,   0.48427305,  -0.12441711,   0.96963489,  -0.24455704,  -0.00441360,  -0.20000000,  -0.19980809
300,   0.44990179,  -0.21814759,   0.90170562,  -0.43235055,  -0.00437926,  -0.20000000,  -0.19981360
301,   0.39759424,  -0.30318117,   0.79781556,  -0.60290158,  -0.00434492,  -0.20000000,  -0.19981907
302,   0.32943574,  -0.37612775,   0.66210234,  -0.74941343,  -0.00430299,  -0.20000000,  -0.19982450
303,   0.24814358,  -0.43407920,   0.49998188,  -0.86603588,  -0.00426097,  -0.20000000,  -0.19982988
304,   0.15695864,  -0.47472516,   0.31791303,  -0.94811988,  -0.00421144,  -0.20000000,  -0.19983520
305,   0.05951621,  -0.49644518,   0.12316363,  -0.99238640,  -0.00416183,  -0.20000000,  -0.19984046
306,  -0.04029896,  -0.49837336,  -0.07650220,  -0.99706942,  -0.00410843,  -0.20000000,  -0.19984566
307,  -0.13850753,  -0.48043278,  -0.27312014,  -0.96197993,  -0.00405119,  -0.20000000,  -0.19985080
308,  -0.23119420,  -0.44333875,  -0.45884335,  -0.88851720,  -0.00399397,  -0.20000000,  -0.19985586
309,  -0.31466383,  -0.38857004,  -0.62626332,  -0.77961159,  -0.00393681,  -0.20000000,  -0.19986086
310,  -0.38558868,  -0.31831017,  -0.76870668,  -0.63960147,  -0.00387187,  -0.20000000,  -0.19986577
311,  -0.44114122,  -0.23536018,  -0.88048398,  -0.47407585,  -0.00380708,  -0.20000000,  -0.19987062
312,  -0.47910672,  -0.14302704,  -0.95713627,  -0.28963792,  -0.00374223,  -0.20000000,  -0.19987537
313,  -0.49797162,  -0.04499183,  -0.99560559,  -0.09364550,  -0.00367737,  -0.20000000,  -0.19988005
314,  -0.49698380,   0.05483708,  -0.99435693,   0.10608651,  -0.00360871,  -0.20000000,  -0.19988464
315,  -0.47618264,   0.15247978,  -0.95343888,   0.30158627,  -0.00354002,  -0.20000000,  -0.19988915
316,  -0.43639746,   0.24404356,  -0.87448400,   0.48505440,  -0.00347138,  -0.20000000,  -0.19989358
317,  -0.37921435,   0.32587802,  -0.76063955,   0.64917445,  -0.00339890,  -0.20000000,  -0.19989792
318,  -0.30691302,   0.39472064,  -0.61644864,   0.78739512,  -0.00332639,  -0.20000000,  -0.19990216
319,  -0.22237597,   0.44782689,  -0.44766399,   0.89420187,  -0.00325394,  -0.20000000,  -0.19990632
320,  -0.12897342,   0.48307955,  -0.26101932,   0.96533358,  -0.00318143,  -0.20000000,  -0.19991039
321,  -0.03042907,   0.49907321,  -0.06396105,   0.99795240,  -0.00310898,  -0.20000000,  -0.19991437
322,   0.06932840,   0.49517024,   0.13564901,   0.99075693,  -0.00303649,  -0.20000000,  -0.19991826
323,   0.16632195,   0.47152627,   0.32984722,   0.94403434,  -0.00296399,  -0.20000000,  -0.19992206
324,   0.25668472,   0.42908385,   0.51088589,   0.85964853,  -0.00289151,  -0.20000000,  -0.19992577
325,   0.33681419,   0.36953512,   0.67154223,   0.74096626,  -0.00281904,  -0.20000000,  -0.19992939
326,   0.40351585,   0.29525405,   0.80540681,   0.59272242,  -0.00274653,  -0.20000000,  -0.19993290
327,   0.45413050,   0.20920205,   0.90713888,   0.42083138,  -0.00267411,  -0.20000000,  -0.19993633
328,   0.48664024,   0.11480977,   0.97267979,   0.23215087,  -0.00260164,  -0.20000000,  -0.19993967
329,   0.49974903,   0.01584034,   0.99941474,   0.03420846,  -0.00252915,  -0.20000000,  -0.19994292
330,   0.49293423,  -0.08376059,   0.98627704,  -0.16509873,  -0.00245667,  -0.20000000,  -0.19994608
331,   0.46646759,  -0.18002222,   0.93379229,  -0.35781556,  -0.00238800,  -0.20000000,  -0.19994915
332,   0.42140418,  -0.26910689,   0.84405440,  -0.53625757,  -0.00231937,  -0.20000000,  -0.19995213
333,   0.35954061,  -0.34746304,   0.72064346,  -0.69330591,  -0.00225067,  -0.20000000,  -0.19995503
334,   0.28334317,  -0.41196680,   0.56847966,  -0.82269728,  -0.00217816,  -0.20000000,  -0.19995785
335,   0.19585140,  -0.46004590,   0.39363939,  -0.91926497,  -0.00210571,  -0.20000000,  -0.19996057
336,   0.10055190,  -0.48978496,   0.20309134,  -0.97915977,  -0.00202944,  -0.20000000,  -0.19996321
337,   0.00124383,  -0.49999845,   0.00444840,  -0.99999011,  -0.00196075,  -0.20000000,  -0.19996575
338,  -0.09811383,  -0.49027917,  -0.19437200,  -0.98092788,  -0.00189211,  -0.20000000,  -0.19996819
339,  -0.19356011,  -0.46101463,  -0.38543832,  -0.92273360,  -0.00182343,  -0.20000000,  -0.19997056
340,  -0.28128999,  -0.41337141,  -0.56112838,  -0.82772875,  -0.00175479,  -0.20000000,  -0.19997284
341,  -0.35780609,  -0.34924892,  -0.71443343,  -0.69970340,  -0.00168607,  -0.20000000,  -0.19997503
342,  -0.42005801,  -0.27120337,  -0.83923346,  -0.54377127,  -0.00162506,  -0.20000000,  -0.19997713
343,  -0.46556404,  -0.18234614,  -0.93055940,  -0.36614102,  -0.00155637,  -0.20000000,  -0.19997916
344,  -0.49251008,  -0.08621956,  -0.98476124,  -0.17391188,  -0.00149536,  -0.20000000,  -0.19998111
345,  -0.49982190,   0.01334422,  -0.99968106,   0.02525459,  -0.00143432,  -0.20000000,  -0.19998297
346,  -0.48720801,   0.11237602,  -0.97472543,   0.22340623,  -0.00138092,  -0.20000000,  -0.19998476
347,  -0.45517123,   0.20692788,  -0.91088790,   0.41265383,  -0.00131989,  -0.20000000,  -0.19998649
348,  -0.40498880,   0.29323041,  -0.81071520,   0.58544075,  -0.00125882,  -0.20000000,  -0.19998814
349,  -0.33866119,   0.36784315,  -0.67820877,   0.73486930,  -0.00120547,  -0.20000000,  -0.19998972
350,  -0.25883269,   0.42779160,  -0.51865071,   0.85498625,  -0.00115204,  -0.20000000,  -0.19999123
351,  -0.16868563,   0.47068584,  -0.33840528,   0.94100046,  -0.00109866,  -0.20000000,  -0.19999267
352,  -0.07181381,   0.49481592,  -0.14466195,   0.98948115,  -0.00104524,  -0.20000000,  -0.19999404
353,   0.02792090,   0.49921981,   0.05485150,   0.99849451,  -0.00099182,  -0.20000000,  -0.19999535
354,   0.12654254,   0.48372200,   0.25217709,   0.96768111,  -0.00093843,  -0.20000000,  -0.19999659
355,   0.22011946,   0.44894034,   0.43943727,   0.89827329,  -0.00089261,  -0.20000000,  -0.19999777
356,   0.30492121,   0.39626136,   0.60917103,   0.79303890,  -0.00084686,  -0.20000000,  -0.19999889
357,   0.37756705,   0.32778516,   0.75460869,   0.65617508,  -0.00080112,  -0.20000000,  -0.19999994
358,   0.43516096,   0.24624163,   0.86994970,   0.49314049,  -0.00075534,  -0.20000000,  -0.20000094
359,   0.47540689,   0.15488151,   0.95059377,   0.31043756,  -0.00070953,  -0.20000000,  -0.20000188
360,   0.49670044,   0.05734693,   0.99332452,   0.11535322,  -0.00066376,  -0.20000000,  -0.20000277
361,   0.49819270,  -0.04247381,   0.99643838,  -0.08432426,  -0.00062561,  -0.20000000,  -0.20000361
362,   0.47982422,  -0.14060131,   0.95981348,  -0.28063881,  -0.00058746,  -0.20000000,  -0.20000438
363,   0.44232720,  -0.23312365,   0.88491040,  -0.46576127,  -0.00054932,  -0.20000000,  -0.20000511
364,   0.38719657,  -0.31635237,   0.77471644,  -0.63230878,  -0.00051117,  -0.20000000,  -0.20000580
365,   0.31663007,  -0.38696951,   0.63363206,  -0.77363455,  -0.00048065,  -0.20000000,  -0.20000644
366,   0.23344094,  -0.44215983,   0.46727988,  -0.88410944,  -0.00045010,  -0.20000000,  -0.20000704
367,   0.14094552,  -0.47972322,   0.28229362,  -0.95932806,  -0.00041959,  -0.20000000,  -0.20000760
368,   0.04283123,  -0.49816212,   0.08605012,  -0.99629080,  -0.00038910,  -0.20000000,  -0.20000812
369,  -0.05699056,  -0.49674144,  -0.11363246,  -0.99352288,  -0.00035096,  -0.20000000,  -0.20000862
370,  -0.15454039,  -0.47551790,  -0.30877602,  -0.95113480,  -0.00032046,  -0.20000000,  -0.20000905
371,  -0.24592936,  -0.43533751,  -0.49160630,  -0.87081760,  -0.00028992,  -0.20000000,  -0.20000945
372,  -0.32751420,  -0.37780213,  -0.65483236,  -0.75577414,  -0.00025940,  -0.20000000,  -0.20000981
373,  -0.39604250,  -0.30520540,  -0.79194528,  -0.61059213,  -0.00022888,  -0.20000000,  -0.20001014
374,  -0.44878229,  -0.22044151,  -0.89747709,  -0.44106102,  -0.00019836,  -0.20000000,  -0.20001042
375,  -0.48363110,  -0.12688954,  -0.96721768,  -0.25394881,  -0.00017546,  -0.20000000,  -0.20001067
376,  -0.49919966,  -0.02827905,  -0.99839067,  -0.05671046,  -0.00015259,  -0.20000000,  -0.20001090
377,  -0.49486730,   0.07145879,  -0.98975313,   0.14278921,  -0.00012970,  -0.20000000,  -0.20001109
378,  -0.47080675,   0.16834790,  -0.94164944,   0.33659521,  -0.00010681,  -0.20000000,  -0.20001125
379,  -0.42797717,   0.25852570,  -0.85599774,   0.51697958,  -0.00008392,  -0.20000000,  -0.20001139
380,  -0.36808604,   0.33839720,  -0.73621339,   0.67674947,  -0.00006106,  -0.20000000,  -0.20001149
381,  -0.29352090,   0.40477830,  -0.58707887,   0.80952972,  -0.00004581,  -0.20000000,  -0.20001157
382,  -0.20725438,   0.45502266,  -0.41453654,   0.91003269,  -0.00003052,  -0.20000000,  -0.20001163
383,  -0.11272553,   0.48712724,  -0.22546594,   0.97425103,  -0.00001527,  -0.20000000,  -0.20001167
384,  -0.01370281,   0.49981219,  -0.02740562,   0.99962437,   0.00000000,  -0.20000000,  -0.20001169
385,   0.08586619,   0.49257183,   0.17174740,   0.98514104,   0.00001524,  -0.20000000,  -0.20001169
386,   0.18201207,   0.46569476,   0.36405256,   0.93137842,   0.00003052,  -0.20000000,  -0.20001167
387,   0.27090192,   0.42025247,   0.54184234,   0.84048015,   0.00004581,  -0.20000000,  -0.20001163
388,   0.34899211,   0.35805658,   0.69802791,   0.71607053,   0.00006104,  -0.20000000,  -0.20001157
389,   0.41316950,   0.28158650,   0.82638198,   0.56310993,   0.00007632,  -0.20000000,  -0.20001149
390,   0.46087563,   0.19389082,   0.92178380,   0.38770428,   0.00008392,  -0.20000000,  -0.20001140
391,   0.49020866,   0.09846555,   0.98043537,   0.19684134,   0.00009155,  -0.20000000,  -0.20001130
392,   0.49999923,  -0.00088510,   0.99999827,  -0.00186939,   0.00009918,  -0.20000000,  -0.20001118
393,   0.48985699,  -0.10020047,   0.97969258,  -0.20050560,   0.00010681,  -0.20000000,  -0.20001106
394,   0.46018630,  -0.19552130,   0.92032784,  -0.39114791,   0.00011444,  -0.20000000,  -0.20001093
395,   0.41216999,  -0.28304753,   0.82427084,  -0.56619567,   0.00012207,  -0.20000000,  -0.20001078
396,   0.34772226,  -0.35928988,   0.69535130,  -0.71867001,   0.00012973,  -0.20000000,  -0.20001063
397,   0.26941237,  -0.42120895,   0.53870904,  -0.84249187,   0.00013733,  -0.20000000,  -0.20001046
398,   0.18036218,  -0.46633622,   0.36058915,  -0.93272477,   0.00014499,  -0.20000000,  -0.20001028
399,   0.08412174,  -0.49287274,   0.16809307,  -0.98577112,   0.00015259,  -0.20000000,  -0.20001011
